source,target
"mercadoria","valor-uso"
"mercadoria","valor-troca"
"mercadoria","fetichismo"
"mercadoria","trabalho-abstrato"
"valor-uso","valor-troca"
"valor-uso","trabalho-concreto"
"valor-troca","trabalho-abstrato"
"valor-troca","preco-valor"
"trabalho-concreto","trabalho-abstrato"
"trabalho-concreto","previa-ideacao"
"trabalho-abstrato","tsn"
"tsn","valor-troca"
"tsn","forcas-produtivas"
"previa-ideacao","objetivacao"
"previa-ideacao","forcas-produtivas"
"objetivacao","trabalho-concreto"
"objetivacao","alienacao"
"forcas-produtivas","relacoes-producao"
"forcas-produtivas","automacao"
"forcas-produtivas","ia"
"relacoes-producao","mais-valia"
"relacoes-producao","capital"
"relacoes-producao","uberizacao"
"mais-valia","mais-valia-absoluta"
"mais-valia","mais-valia-relativa"
"mais-valia","capital"
"mais-valia","exploracao"
"mais-valia-absoluta","mais-valia-relativa"
"mais-valia-absoluta","uberizacao"
"mais-valia-absoluta","reforma-trabalhista"
"mais-valia-relativa","automacao"
"mais-valia-relativa","algoritmos"
"capital","circuito-capital"
"capital","acumulacao"
"capital","plataformizacao"
"circuito-capital","mais-valia"
"circuito-capital","acumulacao"
"fetichismo","fetichismo-digital"
"fetichismo","ideologia"
"fetichismo","alienacao"
"fetichismo-digital","mais-valia-dados"
"fetichismo-digital","plataformizacao"
"fetichismo-digital","magalu"
"preco-valor","fetichismo"
"preco-valor","capitalismo-vigilancia"
"reforma-trabalhista","uberizacao"
"reforma-trabalhista","pejotizacao"
"reforma-trabalhista","intermitente"
"pejotizacao","uberizacao"
"pejotizacao","precarizacao"
"intermitente","uberizacao"
"intermitente","mais-valia-absoluta"
"magalu","plataformizacao"
"magalu","mais-valia-dados"
"magalu","terceirizacao"
"terceirizacao","uberizacao"
"terceirizacao","precarizacao"
"exploracao","alienacao"
"exploracao","resistencia"
"precarizacao","uberizacao"
"precarizacao","intermitente"
"acumulacao","monopolio"
"algoritmos","uberizacao"
"algoritmos","ia"
"algoritmos","vigilancia"
"automacao","ia"
"automacao","desemprego"
"ia","mais-valia-dados"
"ia","vigilancia"
"cibernetica","feedback"
"cibernetica","wiener"
"cibernetica","turing"
"cibernetica","shannon"
"cibernetica","segunda-ordem"
"cibernetica","automacao"
"cibernetica","autopoiese"
"cibernetica","variedade-requisita"
"cibernetica","vsm"
"cibernetica","acoplamento-estrutural"
"wiener","feedback"
"wiener","duplo-uso-militar"
"wiener","vicio-digital"
"turing","computabilidade"
"turing","problema-parada"
"turing","enigma"
"turing","duplo-uso-militar"
"shannon","teoria-informacao"
"shannon","entropia"
"shannon","trabalho-imaterial"
"shannon","duplo-uso-militar"
"babbage","ada-lovelace"
"babbage","algoritmo"
"babbage","automacao"
"babbage","materialidade-computacao"
"ada-lovelace","algoritmo"
"ada-lovelace","eniac-six"
"ada-lovelace","genero-computacao"
"eniac-six","genero-computacao"
"eniac-six","trabalho-invisivel"
"genero-computacao","divisao-sexual-trabalho"
"genero-computacao","trabalho-invisivel"
"feedback","autopoiese"
"feedback","temporalidade"
"feedback","vicio-digital"
"feedback-negativo","feedback"
"feedback-negativo","homeostase"
"feedback-negativo","cybersyn"
"feedback-positivo","feedback"
"feedback-positivo","vicio-digital"
"feedback-positivo","viralizacao"
"feedback-positivo","necropolitica-digital"
"vicio-digital","dopamina"
"vicio-digital","infinite-scroll"
"vicio-digital","capitalismo-vigilancia"
"dopamina","feedback-positivo"
"dopamina","recompensa-variavel"
"recompensa-variavel","vicio-digital"
"recompensa-variavel","gamificacao"
"infinite-scroll","feedback-positivo"
"algoritmo","turing"
"algoritmo","computabilidade"
"algoritmo","automacao"
"computabilidade","problema-parada"
"problema-parada","limites-tecnologia"
"problema-parada","democracia-algoritmicica"
"limites-tecnologia","determinismo-tecnologico"
"limites-tecnologia","democracia-algoritmicica"
"teoria-informacao","bit"
"teoria-informacao","entropia"
"teoria-informacao","trabalho-imaterial"
"bit","shannon"
"bit","digitalizacao"
"entropia","materialidade-computacao"
"duplo-uso-militar","enigma"
"duplo-uso-militar","darpa"
"duplo-uso-militar","geopolitica"
"enigma","necropolitica-digital"
"darpa","internet"
"darpa","geopolitica"
"darpa","vigilancia"
"materialidade-computacao","extrativismo"
"materialidade-computacao","ecologia-digital"
"materialidade-computacao","data-centers"
"ecologia-digital","extrativismo"
"ecologia-digital","e-waste"
"ecologia-digital","data-centers"
"e-waste","necropolitica-digital"
"e-waste","extrativismo"
"data-centers","fetichismo-digital"
"autopoiese","nhandereko"
"autopoiese","fechamento-operacional"
"autopoiese","acoplamento-estrutural"
"autopoiese","recursividade"
"autopoiese","segunda-ordem"
"segunda-ordem","meta-observacao"
"segunda-ordem","ontologia-executavel"
"segunda-ordem","acoplamento-estrutural"
"acoplamento-estrutural","comunicacao"
"acoplamento-estrutural","linguagem-sistema"
"variedade-requisita","feedback"
"variedade-requisita","vsm"
"variedade-requisita","descentralizacao"
"vsm","cybersyn"
"vsm","recursividade"
"vsm","autonomia-coordenacao"
"recursividade","feedback"
"recursividade","emergencia"
"recursividade","fractais"
"emergencia","sistemas-complexos"
"emergencia","consciencia"
"emergencia","sociedade"
"escalada-simetrica","feedback"
"escalada-simetrica","patologias-sistemicas"
"escalada-simetrica","corrida-armamentista"
"fechamento-operacional","recursividade"
"fechamento-operacional","perturbacao-ambiente"
"linguagem-sistema","comunicacao"
"linguagem-sistema","cibernetica"
"rizoma","multiplicidade"
"rizoma","devir"
"rizoma","navegacao-rizomatica"
"multiplicidade","devir"
"multiplicidade","ontologia-relacional"
"capitalismo-vigilancia","mais-valia-dados"
"capitalismo-vigilancia","plataformizacao"
"capitalismo-vigilancia","resistencia"
"capitalismo-vigilancia","vigilancia"
"mais-valia-dados","uberizacao"
"mais-valia-dados","trabalho-imaterial"
"vigilancia","resistencia"
"monopolio","plataformizacao"
"monopolio","capitalismo-vigilancia"
"ideologia","fetichismo-digital"
"ideologia","alienacao"
"desemprego","precarizacao"
"desemprego","uberizacao"
"ontologia-executavel","critica-performativa"
"ontologia-executavel","canvas-background"
"critica-performativa","captcha"
"critica-performativa","ironia-politica"
"captcha","caos"
"captcha","resistencia"
"sistema-ternario","temporalidade"
"sistema-ternario","feedback"
"sistema-ternario","backfeed"
"temporalidade","guaiamum"
"nhandereko","epistemologia-guarani"
"nhandereko","modo-colaborativo"
"epistemologia-guarani","ontologia-relacional"
"epistemologia-guarani","decolonial"
"navegacao-rizomatica","grafo-conceitos"
"navegacao-rizomatica","modo-colaborativo"
"modo-colaborativo","websocket"
"resistencia","opacidade"
"resistencia","honeypots"
"resistencia","critica-performativa"
"devir","ontologia-relacional"
"ontologia-relacional","autopoiese"
"uberizacao","plataformizacao"
"uberizacao","trabalho-imaterial"
"uberizacao","mais-valia-relativa"
"uberizacao","magalu"
"trabalho-imaterial","capitalismo-vigilancia"
"trabalho-imaterial","trabalho-reprodutivo"
"trabalho-reprodutivo","ciberfeminismo"
"trabalho-reprodutivo","federici"
"federici","ciberfeminismo"
"ciberfeminismo","resistencia"
"plataformizacao","resistencia"
"decolonial","ubuntu"
"decolonial","cosmotecnica"
"ubuntu","ontologia-relacional"
"ubuntu","modo-colaborativo"
"cosmotecnica","epistemologia-guarani"
"cosmotecnica","ontologia-executavel"
"guaiamum","navegacao-rizomatica"
